id,username,passwordHash,email,gender,role,designationId,phoneNumber,createdAt,updatedAt
11,Manuel Contreras,$2b$10$Og0yEkBX8hmGhsGygAvVn.oQrBrzl8Kqbo8MiimxEnxPA59ITbMKK,denisecervantes10@mgcrew.com,Others,employee,5.0,657-597-4715,2022-09-22 11:12:11,2023-02-13 14:38:17
12,Lee Edwards,$2b$10$DNZhJT61y.zNcS1uNtmIauS20TyVjhWVW1DMnCD0NqfcJlhVSMijm,kristinnguyen11@mgcrew.com,Male,employee,8.0,281.855.1557,2024-04-20 10:45:16,2024-08-14 04:54:51
13,Kathryn Casey,$2b$10$TxB8GdXiIj/jTrx1H6kANeyn/0SjdO2yHDgwnIn7mQepRQpE.veoC,trivera12@mgcrew.com,Male,employee,7.0,(523)691-4468,2023-10-06 00:43:43,2023-12-28 20:15:32
14,Jason Bowen,$2b$10$D6QEcL75AeIJAJeYlsOr5eM69gwSXuIx/Hh3UfsiR0DNcq0tpVdIm,dyerpamela13@mgcrew.com,Others,employee,6.0,001-205-296-2501x414,2022-11-30 16:01:56,2023-04-12 21:44:49
15,Abigail Brown,$2b$10$UasdlJCYQKJYadGXtAM3GeecyixQF1PR9esS2qLWXvXR4W0ke9lJ.,qmclaughlin14@mgcrew.com,Others,employee,1.0,001-897-353-6117x157,2023-11-03 06:40:18,2024-05-14 03:04:53
16,Gregory Mcdonald,$2b$10$ReDBwNvXRSdCCgT2FJYgkuvUi48C4V9ieQv0mBlMXZ5G4kly8wGRW,karihampton15@mgcrew.com,Female,employee,8.0,471-581-3382,2023-10-20 17:59:13,2024-02-07 12:38:04
17,Wendy Cole,$2b$10$lESjCUH1lBSmTGvvcBYC.eloN9fnMZf8kqa9mn6J6cAuL62FCXMBG,gcohen16@mgcrew.com,Others,employee,5.0,774-343-5943x9251,2023-11-14 12:14:48,2024-04-22 02:18:02
18,Susan Jackson,$2b$10$yhMq6VrAUXGhH.7chCYB1eXW9bz.JvBwbq/chRUJgd/RoXD7JyIAG,harrismichele17@mgcrew.com,Male,employee,5.0,974.281.7696x372,2024-06-04 09:12:34,2024-08-23 20:08:16
19,Christopher Johnson,$2b$10$EhAksnGJlDwosdGVhZM9n.KrynwskdvupXK.pSijh2jFhGJ6B.KmG,christinereyes18@mgcrew.com,Male,employee,4.0,783.946.9215x3176,2024-04-25 15:11:50,2024-08-06 11:52:20
20,Abigail Savage,$2b$10$VtUJAtIQwlWHK4RUzJalJeK2E41VsvlB3t1jvBUgStX45uPHcfnhi,dmueller19@mgcrew.com,Others,employee,5.0,(899)753-0989x751,2022-08-06 19:03:01,2024-09-04 07:05:22
21,Dawn Cook,$2b$10$KIWEp7YOmOReuB5qz95l4eRD.3rcE3Jwo3W9YLCQfqulQSFzIulqy,brianhale20@mgcrew.com,Male,employee,7.0,583.399.2270,2024-05-15 05:49:17,2024-07-08 01:22:33
22,Jessica Howard,$2b$10$fRNdUI8/WeKhzWWsTjebheT7mo8EAoY5In37bGuZ2BgqOv7ATNHRS,brandonpacheco21@mgcrew.com,Male,employee,3.0,328.471.9308,2023-08-24 17:08:52,2024-08-30 16:50:48
23,Tyler Palmer,$2b$10$Ul/vA.XBB/8Kpg/Gn8NTy.S2inJHL0GIMDFrT3pg1prv1XVV/9iT6,charles5522@mgcrew.com,Male,employee,5.0,563.567.0988x7591,2024-08-19 19:38:51,2024-09-03 19:05:33
24,Lacey Cochran,$2b$10$N4kRpZksxKDg.PJn3hob3.ULVHpiefw.17VY/mta7Lawq/Bg.WsTq,williamlee23@mgcrew.com,Others,employee,4.0,429.202.5243,2024-06-11 05:18:52,2024-08-15 16:51:10
25,Zachary Green,$2b$10$56Skqjbl2Dlkf4LSoIgAouPyy8Sop9GfyN/03uumsTnumlgxvob/.,patriciajohnson24@mgcrew.com,Others,employee,2.0,(676)738-0575,2023-10-28 06:19:33,2024-04-30 09:23:58
26,Rebecca Brown,$2b$10$pUJ4QLF9Wv1hhMZbeGqdDOK//wTvom/5npJOmwbV2.wD7GBoMvVDy,jackiewelch25@mgcrew.com,Female,employee,6.0,(982)529-6467,2023-11-02 07:43:13,2023-11-21 05:05:25
27,David Watson,$2b$10$Zfx1Wtm7AWEgzkoyMyQEo.KvlhaaV51/8az5flJUSrk1BAOrsYu16,rodriguezjoseph26@mgcrew.com,Female,employee,7.0,(210)475-3099,2023-08-12 12:28:44,2024-09-04 20:56:53
28,Tyler Reilly,$2b$10$7rHzQ0qKmYjd4vFgTmbimOIzpn/89b/TEHec0swWzsOJYi3kjhRIW,scurtis27@mgcrew.com,Female,employee,4.0,(381)474-5831x51974,2023-03-22 06:39:27,2024-06-29 13:56:21
29,Katie Gates,$2b$10$KYzRHyrtPe9x.oTrLUCGpubM0kNlnwKCc6GvWlg1CJAerJs5Tr1FW,hernandezallison28@mgcrew.com,Male,employee,3.0,(331)639-2880x51677,2024-08-07 07:42:13,2024-10-03 12:04:35
30,Vincent Horton,$2b$10$pPqQiNY0uUus94RZ14wrxOpBir22l82Fw1vGq6MNQe5UAE10qC6um,iwall29@mgcrew.com,Female,employee,3.0,001-552-859-1576x068,2022-07-21 06:42:49,2023-05-02 14:07:35
31,Ryan Marshall,$2b$10$2WMPyX4mpzT6w7AySlhUueqoCTHEqVK6wdF1PgLVLRMa8CaXLdms6,rodneywood30@mgcrew.com,Male,employee,8.0,(763)315-6887x1592,2024-01-24 08:52:23,2024-04-19 16:52:25
32,Lawrence Gordon,$2b$10$5j/mlc3NfVefwJSkv6wc1u64XS2GIpZCeu3U.w3Sm8yKAwkzcW7dy,krausediana31@mgcrew.com,Female,employee,1.0,238-622-5049x700,2022-09-26 16:26:26,2022-12-27 20:00:53
33,Julie Jarvis,$2b$10$pUfigcvRRIGY5MF34U9cmubIWUdxRjXKlLesvRdv3SLvLwSs0Jqpq,juangregory32@mgcrew.com,Male,employee,7.0,(736)896-8499,2024-07-26 02:39:56,2024-09-02 10:32:12
34,Patrick Santos,$2b$10$KyhTlXGIduBOuFvZfONsvuZlOXECB3BxCmQ94io5k0EVyZBoWOTHu,rossaaron33@mgcrew.com,Others,employee,7.0,8412503700,2022-07-24 13:37:28,2023-04-06 05:30:09
35,Cynthia Cabrera,$2b$10$vlIEhOIwRXug6xbkLzjuB.972KoPyjYIIJakxhmAD8j8Z8kqR7PxG,brian6734@mgcrew.com,Female,employee,3.0,(689)716-3390x55142,2022-11-08 21:34:14,2023-01-28 02:46:43
36,Sean Campbell,$2b$10$ZOPZ8djfdWMg.4Bo.No.BOYoPVnNjuFC.LfKUQeDWuaWPuz1pIH5O,wrightmelissa35@mgcrew.com,Female,employee,7.0,001-758-654-8789,2022-11-24 05:20:08,2024-03-27 02:48:03
37,Angelica Little,$2b$10$4G230dYdSo6fuz/9OYvzPOukGkZCZCnMGMlJ4UXJfrVqx0JN/yZuS,adamslinda36@mgcrew.com,Female,employee,5.0,3834465243,2024-06-22 20:20:45,2024-08-05 01:17:53
38,Jennifer Estrada,$2b$10$Iqa4NS42cKfwK4HCD0bfTu8VtbT04YwkvAWCylp1ASzgbmKK1l/lO,brandi3737@mgcrew.com,Male,employee,2.0,+1-725-898-9247x791,2022-09-28 11:05:08,2024-07-05 20:13:24
39,Gregory Mason,$2b$10$DDlKulfaV4CFDZbYCVwSfu8LdjasagbupENy1ygD4.uXM.blxnGDm,robert2738@mgcrew.com,Female,employee,2.0,(211)211-0013,2024-06-28 07:35:21,2024-07-22 08:29:34
40,Sandra Clark,$2b$10$4ZsvG2/U.J9bbzy.jE92iOFYEzgSeTFK8cPSlGEZuMdbGZCtNq0Hi,lnichols39@mgcrew.com,Female,employee,2.0,(986)555-3321x0409,2023-09-20 11:37:59,2023-11-28 23:13:20
41,Lydia Kemp,$2b$10$kLtd9VSlnzuRN3jvju1kouOlQ0eoDMcBGYWiRYXkK0nwwEMKhIOsy,chelseagarrison40@mgcrew.com,Others,employee,3.0,235-972-3487x06933,2024-09-13 22:31:05,2024-10-03 18:45:27
42,Allen Lambert,$2b$10$tq9KzdwShHZytrR55qqhoezIL8iCbE4ZsyCCkES7VtIjchZ1R2YZ2,tpatel41@mgcrew.com,Others,employee,4.0,5306799274,2023-07-29 20:52:16,2023-11-09 04:33:43
43,Maria Smith,$2b$10$2DM2PfCyjOYzbB3kjDKv9ewbqPSPEtRCdw9IACQlp6W1iZWZhS8Si,elizabethcohen42@mgcrew.com,Others,employee,6.0,227.710.5957x4016,2024-02-15 20:41:55,2024-02-18 16:40:36
44,Pamela King,$2b$10$wluGVJfPOcGihY.7aiGrz.ctGaMqBq4aoaYbkq1DmkeF.vPEk1f6C,rcarroll43@mgcrew.com,Others,employee,3.0,808.433.8553x64487,2024-08-03 05:15:08,2024-09-28 07:09:51
45,Justin West,$2b$10$qhzC.doxFia2bpQ2xJqIr.K/fLRvCpo1n.MTRZ5AlYX9dc96feV3.,linda7244@mgcrew.com,Female,employee,3.0,(372)541-2756x8087,2023-07-07 01:51:01,2023-09-27 10:59:47
46,Bradley Hines,$2b$10$t02FMB9PmHbcb3.Umgd4qubj/j1d6Id0FSWYQfc8DWev8K6Mrn7C6,jvelazquez45@mgcrew.com,Others,employee,4.0,993-240-3535,2022-07-05 02:45:09,2022-12-02 13:19:24
47,Tracey Moss,$2b$10$ckawbYMCA6Mnd1THguAzE.H9/Ogj5GWA0W8qrVqz9eCae/4QJEr5a,stephaniebeard46@mgcrew.com,Others,employee,6.0,489-483-4853,2022-05-19 03:50:25,2024-03-08 13:58:55
48,Casey Humphrey,$2b$10$g3hk.VY4t1LRtpz2ky23fOEe0lPifaZIH2KDMNBUnu5gr2rLFRZOy,johnsonmelanie47@mgcrew.com,Others,employee,3.0,797-424-1964x903,2022-10-08 08:52:42,2024-05-11 08:28:39
49,Donald King,$2b$10$.IgJBq4ChvrTUCq2SJMD4OA6ysig9JwETGmTxT1kDxl3AUQt6yHyK,durhamdavid48@mgcrew.com,Others,employee,2.0,260-426-4049x286,2024-01-12 18:16:29,2024-07-25 23:03:03
50,Sherri Edwards,$2b$10$rBpREUw5skHravOohusCHuqazRlqFYu.NVbg2KxwHf8XmVoKFmoey,dkelly49@mgcrew.com,Others,employee,1.0,+1-925-612-2639x467,2023-09-14 11:53:17,2023-12-24 23:07:13
51,James Watts,$2b$10$Q1bfqDSdLxqxEISf65QACeWBorwbopx/2kHe0lxWAlH3/Z1PKfEP.,lee5150@mgcrew.com,Others,employee,8.0,+1-647-706-7892x556,2024-06-29 12:54:18,2024-09-05 03:41:49
52,David Oliver,$2b$10$Ixrj6wj2YLN.QJegBclEx.r.pJ1iuvXmQRlojkDqkoEcu.wa.AaYe,rcraig51@mgcrew.com,Male,employee,6.0,(812)938-4740x208,2023-10-28 05:35:35,2024-03-13 09:30:17
53,Mr. Jeffrey Spears,$2b$10$vv1whTzgaUVlR6wTX6k/nuUmwrqHPRnlWuVNROO5iylIhWEPTzday,juliejohns52@mgcrew.com,Male,employee,6.0,511.867.0794x78390,2024-06-02 19:50:35,2024-09-08 08:08:39
54,Robin Mccoy,$2b$10$2GIQ4Ln8HMd6PSyneCDIve/8BauGebyhEtfH/ju0rJcwk8Y41/y46,fcook53@mgcrew.com,Female,employee,7.0,001-501-932-9669x023,2024-04-18 10:05:16,2024-06-26 05:27:29
55,Maria Murphy,$2b$10$dXM1zsevi89cXCj.RXxP1ubtpOWcI8FKn85asy7SnIYl.prZvWqyy,michael2154@mgcrew.com,Others,employee,8.0,969-645-8891,2023-09-03 09:00:25,2023-10-26 01:03:01
56,Alexis Huff,$2b$10$AhJLzHGuy0D5W8AFHY/DEOKc5jm5pie7Z2UmcTie7jQkLiEZZx9t6,pmalone55@mgcrew.com,Female,employee,4.0,280.293.7552x929,2023-02-10 22:11:10,2023-06-25 10:45:56
57,Teresa Wiggins,$2b$10$AHn9q6zj9J0NW2UO5xv0gOoz8Hpp3e8Ny4UnCWJBNfer9MdG73Jri,samanthafuller56@mgcrew.com,Others,employee,8.0,(946)348-4193x6797,2024-09-12 05:25:07,2024-09-24 07:52:16
58,Shannon Rogers,$2b$10$r4Gyxsubm4aUI0LnX98F5e9OaSszGSQPxuGicrbw0x4H2isMpUTmW,crystal8457@mgcrew.com,Others,employee,2.0,001-950-766-1093x537,2023-09-29 16:38:20,2023-11-10 18:38:32
59,Alyssa Conner,$2b$10$swav0z5BrEIVk6fEIZFOwOHyMTef1YZLz8dn7y4RAgRMy6.KJJMvS,nicole4058@mgcrew.com,Others,employee,3.0,246-946-4897x93960,2024-03-11 06:47:54,2024-06-20 18:20:33
60,Jeremy Houston,$2b$10$ceO/faWjinwbU6guiXe5WunQ0qUdEBv2ZLxwdfhe845bKlFheXOIG,cgreen59@mgcrew.com,Female,employee,4.0,413-772-9022x0626,2022-07-15 07:56:23,2024-02-23 16:27:01
61,Kelly Rodriguez,$2b$10$egyGXYnYWNJCQv3ZNNNnZeEa.Kl.YM.6U5s/7KNYwVoa7AGRixQaq,annbennett60@mgcrew.com,Male,employee,6.0,(803)913-1405,2024-05-23 18:08:58,2024-08-14 04:52:24
62,Crystal Ray,$2b$10$Nw6pfSeytnk.yr7xbw6iQerfyf2KmWFR54GXnGGM3.rAAnfC5ZZdq,danielbrown61@mgcrew.com,Female,employee,8.0,729-949-5382x96441,2023-11-06 18:40:11,2024-02-03 15:08:26
63,Louis Miller,$2b$10$zLqLTUwvE3y5aYNWsRI2ceC6wslgQuDTA.uq1/olSmQdM.XlnA0Q2,courtneyvelazquez62@mgcrew.com,Male,employee,8.0,791.583.7969x6862,2024-08-10 01:48:54,2024-09-06 16:56:59
64,Jeffrey Gay,$2b$10$8bQOxFD5lKlVL7XUDdqty.aDd3Qztwa4zPZQQxpQB3Io3vKxNpV7i,hinesjohn63@mgcrew.com,Female,employee,1.0,(396)818-3230,2024-02-01 23:57:11,2024-06-29 05:04:04
65,Kevin Smith,$2b$10$gT3w.3IWq1htWFktiaWKKOIVpxkBGIaj1wTxARIupgotmK1pL2OlK,daniellestewart64@mgcrew.com,Female,employee,5.0,001-331-442-9264,2023-05-21 18:23:43,2024-07-08 20:11:26
66,John Anderson,$2b$10$adsj6qm8gLnA/1gYQ.FWauFVhM3srRhvR7rL9CetrtQxdeKi9mUoG,powellmichael65@mgcrew.com,Female,employee,7.0,255-766-6954x14631,2023-01-10 09:49:58,2024-07-23 11:55:36
67,Christopher Davis,$2b$10$UoGgi2Sw1Y/YYJiUs2B87uQ1iEoXQ2TRreyvaVHbnuA3lLHeOobr.,ruth1266@mgcrew.com,Female,employee,5.0,9986998574,2023-10-05 21:19:10,2023-11-29 15:23:37
68,Sandra Thompson,$2b$10$PpFZWjRsyiQvqY99ilqnouCc6fUBw/gfF7QTNXsateVoWfjNxsBBW,jonathangraham67@mgcrew.com,Female,employee,3.0,001-879-632-3775x466,2022-12-20 09:05:34,2023-04-30 01:49:45
69,Joshua Campos,$2b$10$22KExc8hEzuk6rkxEq0BOO1JOtKjNFsIv3IvunfQFzrjnte7FxbOS,christopher1568@mgcrew.com,Others,employee,5.0,446-441-0572x358,2024-08-23 13:38:24,2024-08-30 18:53:22
70,Megan Schmidt,$2b$10$zUKvJZrWfRMmCWyiZ3nPcOA8T3neGD8PEH1crv9FPMFV2fUBFQj7.,sanchezregina69@mgcrew.com,Female,employee,3.0,(417)857-7015x39909,2023-02-25 22:46:07,2024-09-05 09:14:11
71,Kenneth Lin,$2b$10$z/bHrsgVy32wLVYpHqlijOeEOJmhbzW184WWdohmJakk8iLK4M6am,thomasrose70@mgcrew.com,Others,employee,3.0,+1-288-814-4071x2167,2023-05-09 21:06:57,2023-11-13 04:54:45
72,Ryan Scott,$2b$10$EBNzFX.qEOA1JAAoqeYdkOXcaHYYfI7t5BH77DB5CMGSBDDN2csW2,steelekenneth71@mgcrew.com,Male,employee,5.0,+1-274-595-0943x7964,2024-01-29 09:25:50,2024-01-31 20:47:23
73,Denise Ramirez,$2b$10$.RUEVeB0y3aCAXdQlCNL1eqLMrW6IcykOV1H3gioq9/sb52B.P5VW,schavez72@mgcrew.com,Male,employee,7.0,9055929164,2022-04-21 16:19:11,2022-08-21 03:06:11
74,Kevin Flores,$2b$10$jsDW/FhmLsnGB2XOrSvdg.5fNmyu9miYz0E6jxKT/ad2wKNwN2eay,kflores73@mgcrew.com,Male,employee,1.0,282-200-9179x7185,2022-07-11 16:57:12,2023-04-27 22:33:45
75,Kristina Fernandez,$2b$10$BYumE2MrOFvhOZBiMRNGTeRERKHTZ.iQemGZnEIsAQar.O8BLeGdW,roger1674@mgcrew.com,Female,employee,4.0,001-635-877-1363x607,2024-06-06 05:52:31,2024-07-12 11:11:18
76,Tammy Mayo,$2b$10$AX04Tx9KELmMBj6u47x3buDrfxhY5VHpKgR0t/ZUoq2J7QmWZPBRS,rebeccabruce75@mgcrew.com,Others,employee,4.0,671.315.6214x66078,2024-06-04 00:07:48,2024-10-06 04:57:03
77,Tina Herman,$2b$10$wPapH.1Virf2u9vcebwiv.kRJ6MpdVXIHnWigVsBLEG6A8FEJzRkC,tyler3176@mgcrew.com,Others,employee,1.0,(541)856-3782x5492,2022-12-09 05:10:21,2023-06-01 06:45:21
78,Kathryn Brown,$2b$10$.Ihp6aIx8bbkWDVjPyIr3OvN4EFaJAKZbv.8/mN6RbJb8GyzhfCIG,katherinebraun77@mgcrew.com,Female,employee,4.0,001-652-809-2124x209,2024-01-12 03:50:01,2024-08-28 07:15:56
79,Kathleen Richards,$2b$10$/8rJR9NlfwYcFVQ9apPjgOBB1uNphQgAymeP6kqSllIpwC9qxLVf6,christopher3478@mgcrew.com,Others,employee,2.0,+1-202-599-4441x1783,2023-02-12 02:23:17,2024-09-09 14:07:23
80,Adrian Benson,$2b$10$C7DE/iqWFlxF3i3lVe0FfOEvKgbpWLzRjkr9wzOFJvXvLpEq0UtHC,james8179@mgcrew.com,Others,employee,6.0,943.788.3678,2024-07-14 15:33:49,2024-09-30 18:20:22
81,Christina Keller,$2b$10$FGFHvM4G5vO05BLFLJGzdu2rZtdn5zDtYw0blE.6Dmis6K6mn4dgy,rubiobrian80@mgcrew.com,Female,employee,6.0,001-960-785-4927x016,2022-04-19 21:43:29,2024-02-05 08:39:03
82,Christopher Lucas MD,$2b$10$UDlSKhvqOvZernUz0680vO3YcMZVdAjkoCOQcDIs5zp8CUc8x2chC,markwalker81@mgcrew.com,Male,employee,1.0,(683)752-0680x04854,2024-04-16 08:58:46,2024-05-23 07:50:33
83,Ryan Mcclain,$2b$10$N9SQGSyW.jry4eZM7AyHUOctu7KaTqUngroIkfw38RkjLToovpBaC,leeanne82@mgcrew.com,Male,employee,3.0,502.533.1996,2023-08-09 10:49:11,2023-11-10 12:08:25
84,Julia Duffy,$2b$10$8brOxRBae61ESHbQATMfk.b99CmdN23fM0zGk63g2WJ1ZTswq8xjC,edwardburns83@mgcrew.com,Male,employee,2.0,800-637-7023x313,2024-09-05 01:26:01,2024-09-09 16:12:26
85,William Torres,$2b$10$HXnJJ3ETQQd97AV3w3fpBuyIn/FmMQFUA0tC/6UPQh3sRX8SRLr2O,whines84@mgcrew.com,Female,employee,6.0,278-234-3995x297,2023-05-27 00:43:49,2023-08-05 16:58:12
86,Linda Mcintosh,$2b$10$Ct5t1quTcvAUBA7n7k5u9.FjHP1oD3vAUURrFrQbcFmkh9RxRzriO,gibsonamanda85@mgcrew.com,Female,employee,5.0,756-812-8523,2023-06-13 03:37:05,2024-08-16 21:08:33
87,Colleen Shepherd,$2b$10$srnUbzY/QfY4yslRwb1L6OXw51JwrX4DTJsETMRCGxkv6TJA90.K2,michaelwatts86@mgcrew.com,Male,employee,6.0,3762819910,2024-01-16 14:09:48,2024-09-10 09:23:10
88,Kelly Walker,$2b$10$AiAk0fMwZzimsDjmj6cpae.E3cYQzI9ZCwFENbnCBrzUMHaDEL5iO,davischristopher87@mgcrew.com,Others,employee,6.0,4358031393,2024-05-10 10:51:16,2024-09-09 17:33:13
89,Steven Dorsey,$2b$10$1grymsRXEpmZLdiRojVdsese4IGE1t9bzAbNpW0h73tuFOXS1/kOm,pricesusan88@mgcrew.com,Male,employee,3.0,631.261.6176x046,2023-01-23 10:02:50,2023-10-28 19:19:21
90,Jeffrey Stevenson,$2b$10$hxX9ljDmton1AOnlNopafeWlp.IOv76epaEhjUcV6a7RE.FYYXfKK,peggyreed89@mgcrew.com,Female,employee,3.0,(841)914-3752x581,2022-07-13 16:26:20,2023-08-14 21:35:25
91,Michelle Brown,$2b$10$.YU27r6c/Ilrx3fW5up1tOrXoRz98elXfKQdxvZz//bO8ZxOxL34y,aalvarado90@mgcrew.com,Female,employee,6.0,3752740575,2023-12-11 03:07:06,2024-03-25 08:17:10
92,Anthony Rodriguez,$2b$10$9lt1OfP494LHGAW0Pm4aseT9jQgcPbiVgRzMeYvoT/8u6qBOQC96a,joseph2991@mgcrew.com,Others,employee,1.0,001-360-278-3615x660,2023-06-18 23:00:30,2023-08-24 08:43:44
93,Mr. Andrew Hardy,$2b$10$lc77.X2sZ.rQCKljWzP7u.bG4cFgepFwMEWuiZp6CKcrJMG7GZftq,james6692@mgcrew.com,Male,employee,4.0,(452)993-3589,2024-02-29 04:06:12,2024-07-12 12:56:47
94,Gabrielle Robinson,$2b$10$5SfNijqNu7hFnn0RxVSe/O8/1ZgiJqL4zCjnrK5.vnSvvACDg6hnS,mccarthytammy93@mgcrew.com,Male,employee,1.0,767.993.8451x818,2022-11-20 19:47:01,2023-08-01 23:30:36
95,Ashley Dominguez,$2b$10$z.48AN5sUSDYwZW60qnZyu7RQX14foZytGEMHD/K6zGd.vAaAMmQe,umurphy94@mgcrew.com,Others,employee,8.0,859.939.6056x27116,2024-03-29 14:28:53,2024-06-26 21:24:43
96,Laura Moore,$2b$10$E.rf6.3w8rDW5NKGK7cz1uH.azJINO0wywRuPh9V4Tqzlpt/AFRyy,davismelissa95@mgcrew.com,Male,employee,4.0,9743838700,2023-12-18 03:18:21,2024-02-29 19:36:32
97,Sean Wright,$2b$10$RHh.Z00TR2FIKtk0xuW8XOI/eAHJcEBLGa4DpYks6SI77/IyBne.S,qperry96@mgcrew.com,Female,employee,7.0,843-458-9830x5729,2022-08-21 20:26:10,2024-02-08 00:29:04
98,Mrs. Cindy Rodriguez,$2b$10$kWFfvAV5EQmmzbfokFgPouScUMTdBLlh.4uH.491h/TLcSG3/0rl2,zjohnson97@mgcrew.com,Male,employee,6.0,(627)923-1920,2024-07-11 21:30:31,2024-07-21 05:11:55
99,Collin Williams,$2b$10$4i/eKEaWQ0Ffr8zuk9ZHTeE4nWk4NOaa7vFPmqMuYuU3URP5ENsmu,sherijones98@mgcrew.com,Female,employee,1.0,001-772-572-4420x178,2023-07-27 08:10:21,2023-11-20 18:37:10
100,Maria Harper,$2b$10$ohKcD2IsR2YF6MoSD.9jMO8FzutNrKjctUTwVvvU8FeTf8nDWeTeu,cummingscarl99@mgcrew.com,Others,employee,3.0,9605196099,2022-04-12 10:38:05,2023-12-14 10:44:08
101,Lucas Mcneil,$2b$10$VOyKFRBm5mbXQxoQMjV.j.DImYRYw2ypEQ34cvWSnfRzXFM549kAq,stephenacevedo100@mgcrew.com,Female,employee,2.0,(457)570-1127,2024-04-22 00:10:41,2024-10-06 07:45:54
102,Amanda Walker,$2b$10$tjEiqEwWURNsrK4XRwtPeOodHD29YWPVMqKZVmcWFyCJQqWuFGx4C,jessicamoore101@mgcrew.com,Female,employee,1.0,001-823-742-1162x896,2024-10-01 22:10:38,2024-10-03 23:43:32
103,Sheila Olson,$2b$10$0Om2201H22302w89SYSCZOjcN62MQ6TSfosfPV.EwpJSiBiXzLkaW,franciskrista102@mgcrew.com,Others,employee,6.0,278.527.9505x23019,2023-04-19 02:37:15,2023-11-11 07:31:32
104,Yesenia Jordan,$2b$10$hJpoqy0Gd4DscAbAXnF2iuLamjvFBLCIPno2JxmgRgwrAVFxfBqli,chunt103@mgcrew.com,Male,employee,5.0,815-423-9351,2022-05-27 03:53:11,2023-03-16 10:55:29
105,Paige Rice,$2b$10$aGzLO8L/U5QE8zgWjhW2VOqiUyX6KSohkLFTYyEMcVjmeLtJ68jUK,hicksjacqueline104@mgcrew.com,Others,employee,4.0,965-993-6568,2023-08-13 21:46:40,2024-07-27 14:26:23
106,Mary Willis,$2b$10$n5nwR6notGEnx5pSFhvIwuaQQ0IzmzKuLbFNilk6vLELipcCknaQS,robertmacdonald105@mgcrew.com,Male,employee,5.0,6789989145,2023-01-21 19:51:13,2023-07-24 22:19:44
107,Desiree Ray,$2b$10$wYzFSrSBnv0WaGEYk24DjutmCyoff3f9t2sdTfHSBm/6MOrAWMvUu,ariaskelly106@mgcrew.com,Others,employee,3.0,670.582.9530x6266,2024-05-30 11:48:32,2024-07-03 04:35:37
108,Mary Smith,$2b$10$KfeRmcTSIPnYvWG.d/S0BeYh/ky0FpBz6BOvTQKM9GPZVI9FUj6sq,jose92107@mgcrew.com,Female,employee,2.0,853.988.0100x66164,2023-08-31 22:02:13,2023-09-21 23:28:33
109,Kristin Mejia,$2b$10$HK9P2tl1f/MCtw/UhgJl7OGmmgWAHKoL5TKhYkxuXvDQDbwlS9WpO,qsilva108@mgcrew.com,Others,employee,5.0,670.664.7822x7042,2024-05-18 21:31:26,2024-06-01 12:08:09
