id,username,passwordHash,email,gender,role,designationId,phoneNumber,createdAt,updatedAt
19,patricia75,$2b$10$USGtKB677SKbfWobT5RQLeqmC.s5bNeQ8TqKK/olM9zlrAhtETnRe,patricia75@shcrew.com,Male,employee,6,001-797-866-3321x53185,2010-01-04 15:07:20,2001-08-02 14:55:44
20,adrianlarsen,$2b$10$dEBrSNyNiNxuRpRbkMNF.eSs4Ld.F5DjYe1//nngFLSu8n5vm/Ej.,adrianlarsen@shcrew.com,Others,admin,7,(751)941-7104,1980-06-06 11:53:42,1979-05-01 19:21:37
21,jasonroth,$2b$10$1G1gMJ69VtT.XI2y1Wa1puEHrqCYuj/qfpIlH6ALlzqWuGkjqWLVe,jasonroth@shcrew.com,Others,employee,8,(828)427-1259,2020-12-01 16:05:45,2010-09-21 11:42:03
22,umoore,$2b$10$5vuaN575X7g9EF9erbvD.OjiqEZ/Vwh5hfljoBVkZxk9I62IBDBVy,umoore@shcrew.com,Others,admin,3,237-903-5789x861,2022-05-08 02:03:10,2020-06-19 14:33:26
23,margaret85,$2b$10$RsFjq4ART293Pcc6qbFdBOzZrPdI9DnKl83k2PvRFIC.rQuguQqzW,margaret85@shcrew.com,Female,employee,6,958.966.8735,1983-03-12 18:12:51,1984-09-21 12:13:48
24,amber66,$2b$10$Q.9Jj6k.s5izFob1lKwV1ujAvaJbOXige813E65pg5wo/Fo45hNoq,amber66@shcrew.com,Others,admin,5,001-256-409-8027,2022-07-11 10:12:33,2001-01-10 10:28:35
25,crawfordsteven,$2b$10$YAMOzvvrhmjma7cY42NRn.4lahRS5IspXXyE5dv1EpHz5dEz2c99e,crawfordsteven@shcrew.com,Others,admin,4,563-521-7757x98567,2008-02-21 17:24:52,2017-01-01 16:40:56
26,amandahancock,$2b$10$pxouBiUiCd3RtHE9ASdmlOdc7KsfPcXlxbmAhuu4LGUPScPTcSz/2,amandahancock@shcrew.com,Female,admin,1,464-742-3887x6242,2010-07-22 15:32:13,2002-08-09 14:50:05
27,oguerrero,$2b$10$4mMSDk8Nag3kRmTYwOKwwOSjkdQRZB2/3hv8Nurx8705yTjaaZzEK,oguerrero@shcrew.com,Male,admin,7,923.775.6013,1981-10-13 15:15:55,1996-11-17 15:33:36
28,rodriguezmichael,$2b$10$1WtuP8Y/hW5B0fKxgdr8LeQ8J0qIhxS2nWADuz9hwcCgUgWMJr5G2,rodriguezmichael@shcrew.com,Male,admin,7,879.287.8571,1990-07-12 22:24:35,1972-12-09 10:47:17
29,elove,$2b$10$aWoUFUMPG/gOR/AlQRk1EOBPJ9e8E.XC4PtQYkIZwrU5dhbvw9rBa,elove@shcrew.com,Male,admin,5,001-333-541-7881x633,1994-10-14 12:05:14,1999-06-05 16:46:50
30,walterharrison,$2b$10$/ODu.ZiHOgoHpvTxrHpCiemKBhPVvOniBVW8xqw1koMzrskYj.CzC,walterharrison@shcrew.com,Female,admin,6,(523)873-7416,1978-05-10 18:37:33,1997-06-18 21:59:30
31,ycook,$2b$10$weeby/zXFGtIEEm9N/yCg.45xTTuLqdj.VtNogS35AFJbyB4MQ9xm,ycook@shcrew.com,Female,admin,1,746-679-3238,2019-09-21 23:52:53,1986-02-05 23:55:26
32,fmcintosh,$2b$10$ZhcoG5WMk0YiKzgb0HwQOOCr2D53juAgW1qJ6gSlD0hLn5mTRoQTi,fmcintosh@shcrew.com,Male,employee,6,001-520-419-3354x634,2020-05-10 07:59:40,1980-06-05 06:24:18
33,panderson,$2b$10$uIV8S2ceBc6IuM1lUIxanu1TLLDiJ6DgSrm6pGP.75T0WlbgfpP6m,panderson@shcrew.com,Others,admin,8,+1-536-726-0216,2003-11-15 04:47:28,1975-01-03 02:57:46
34,natashahoward,$2b$10$VWsShdgHRcFTvN9Tzvs7vu539Aspt1wQKqW8/dfo0ZIHcRb9PBvvS,natashahoward@shcrew.com,Female,admin,1,+1-793-948-3545x24633,1983-06-05 04:03:32,2020-09-25 20:41:34
35,robert18,$2b$10$0TaeF4fQHDO9KfTs529JC.KK7EeZL47lfhLKjFseTjmPfFcFku.RC,robert18@shcrew.com,Female,admin,6,001-471-302-8389x9919,1985-04-26 00:31:11,2011-04-14 20:26:16
36,lopezchristopher,$2b$10$WE3USiJkjpgqpz2aNar6o.gJIVWrk7yNi9lQ1kGv0BGYqvSoOok.i,lopezchristopher@shcrew.com,Others,employee,6,885-652-5015x775,1990-07-10 09:00:26,1999-03-01 18:30:14
37,zunigasteve,$2b$10$mVQVD72lzPckLYPlH2EkteuS0ImOrnFzV6wylRbw6OeAZcQy6ou42,zunigasteve@shcrew.com,Female,employee,8,001-495-604-6614x14270,2022-07-31 15:54:40,1994-10-19 23:51:04
38,robert29,$2b$10$eJ5B/ypm8rp6u6zvr8GiVuvOeGqbeSxFOmR3iAiH5WJ6S5nqkOTdO,robert29@shcrew.com,Male,admin,1,575.417.7648x51844,1976-02-19 12:32:37,1970-06-26 22:20:36
39,michelle67,$2b$10$huwqvh.t0aWY5fJyiAa4Ne9U6d7LW11gDQ.e8F36dejU6iy4SSwce,michelle67@shcrew.com,Male,admin,4,886.209.9823,2010-11-18 13:10:13,2014-12-26 00:48:11
40,murrayryan,$2b$10$nlUfuGnI8dGfQjwBWizKJuGVP4RtMMkkXDct1OQpBSLV37aWgMb3e,murrayryan@shcrew.com,Female,employee,4,+1-810-243-9022x04269,1973-11-30 15:48:16,2018-08-09 05:21:34
41,fuenteskyle,$2b$10$t9yc7/70ii/tCO.k.w3JS.QSnYI7lf/rwIw4UD7qcXEUz1RLWMUUe,fuenteskyle@shcrew.com,Female,admin,7,001-356-942-8039x814,1981-01-28 03:29:24,1972-01-16 08:45:14
42,maryparks,$2b$10$ymb6pa9tFdyf0ELgGExPZOaf3FI.7ipvW48IWHFN23g.ABhH0hqje,maryparks@shcrew.com,Others,employee,2,001-411-966-7495x0907,2013-12-07 08:38:39,1986-04-18 14:16:56
43,oscargarrison,$2b$10$EhaBrU0NrGsSmHd1/wqZ8e4O2MCgE06MuBo3u37W0fi.uHOoQCbH.,oscargarrison@shcrew.com,Male,employee,2,764-974-8664x5941,2004-04-26 16:37:45,2007-01-16 09:41:57
44,krhodes,$2b$10$/VNW3tQgmhhQTK7wdP.Ah.Wo8ogVmOcplFeDu1am6L5LO0Ct2/wpS,krhodes@shcrew.com,Others,employee,7,(378)609-8501x6979,2015-12-18 19:16:05,1985-12-18 21:04:31
45,lnewman,$2b$10$PxiZ2VdCXuSJAYDUuCB2r.vLDLqBN03ADzylVjTrHNjIX9Wi3RqTm,lnewman@shcrew.com,Female,admin,6,(369)320-7520x235,2003-06-25 10:14:18,1971-04-08 23:19:22
46,tammy97,$2b$10$BzAx78Sgw8Wl5uZcmPe6Z.XVJrl4DLbHjXJYVA2N2sWzh2o18P7KC,tammy97@shcrew.com,Male,employee,1,001-683-703-0466x5304,1976-02-19 08:18:35,2007-12-20 00:57:52
47,carpenterdavid,$2b$10$MpwBUi1bvBviaXc7vBbr2OmKc.EK1z.rGxPX2w8.RDHRbOkt8Xr6i,carpenterdavid@shcrew.com,Male,employee,1,001-294-710-8883x3700,1977-10-06 22:48:28,1974-03-05 13:24:40
48,jessica70,$2b$10$Aho1HPTMjtzB5eUARcshqOvqCxtv.DMlfUGXYcChm.OUAi9H.0Ure,jessica70@shcrew.com,Male,employee,1,+1-621-418-7017x86276,1980-04-11 10:41:36,2005-03-07 11:25:18
49,kimberlyjohnson,$2b$10$2cgOnVBBKaW8peuDndRcZOZ7ZUHfZV78QicmKSOHoh4NxVCHpgz3W,kimberlyjohnson@shcrew.com,Others,admin,8,415-472-5503,2000-06-20 08:14:57,2014-05-15 23:14:19
50,sgarcia,$2b$10$PfPLob.m1rWMj.89BhugCeonptSDy.oaMaJ.a7EY2oY4AXQxAH0TO,sgarcia@shcrew.com,Others,employee,2,805-921-6374x927,1976-05-31 13:13:22,2004-09-29 02:42:26
51,lyonszachary,$2b$10$J3gDEfnCtlb3U8nGEJ.jiecvX2GEHjWsItJZDEpk7cmrYStynRMCC,lyonszachary@shcrew.com,Female,admin,2,812-693-5032x9267,1997-01-06 14:27:08,1980-05-24 05:59:30
52,jason49,$2b$10$WiTE.2uLK/jLBchDCkCYlO2QT9wRpgT4VAHhHFM4Rzp079WUMn1VC,jason49@shcrew.com,Others,employee,7,432-253-2100,2022-08-30 02:18:07,2019-07-17 14:02:05
53,danielgray,$2b$10$/qogZZCr3i58WLa18x9OF..GSD.FjQTDMaCQ6CGIilpL7ywhr38L.,danielgray@shcrew.com,Female,employee,2,+1-716-532-8434,1986-03-17 02:16:34,1986-06-04 23:17:08
54,shawn76,$2b$10$bcGUGofEracrHclGKZGIhe/4T2mzW1ZgInsUfWjPVyokvKu6PLemG,shawn76@shcrew.com,Female,employee,1,633-711-8775,2011-11-02 13:27:22,2013-02-18 02:34:50
55,calebjohnson,$2b$10$3PkupGOqudXj6AfoiNTBUOjObycQsediECqhuat5E/YJqwWd7H3dW,calebjohnson@shcrew.com,Male,employee,3,+1-594-602-1506x78354,1990-09-12 07:57:47,1985-07-17 13:45:48
56,tpittman,$2b$10$I8v1ZxKQBvzw8lpOB.hJcO1EqHwl/RSoENNcj7uMrxVSZ4nnSkEQG,tpittman@shcrew.com,Others,admin,7,716-806-1918,1970-03-13 02:29:07,2017-03-22 21:52:25
57,horngarrett,$2b$10$cXEUCRYUk61FkFtC.Qc.Iumujw//fhvN4nYw.kDrn2u5yqKqXGXZO,horngarrett@shcrew.com,Female,admin,5,644-647-2995,1986-01-17 14:22:27,2022-09-18 13:44:03
58,kristine80,$2b$10$BOfNvDqH2Yq54doUy0x3DucRF0.gvWpU9zkx/cp68OA/iDZBiTJ/q,kristine80@shcrew.com,Male,employee,8,225.492.5598,2007-04-16 21:09:48,1982-03-16 21:03:37
59,cheryl29,$2b$10$Go.8eYDktph6OC/XVyvoy.y0fy9Jk2kBWBVWlIGkZ2RfWFd1xbD1.,cheryl29@shcrew.com,Female,employee,2,295.686.2974x749,2007-04-27 21:26:38,1988-07-23 15:55:32
60,riverapaige,$2b$10$/A/kpq4t3K14LnJUVZZI.OAhr9bzId3o6B1uGnz5LQQSvlxz4I09q,riverapaige@shcrew.com,Others,employee,1,001-865-757-8528,1975-09-27 06:19:54,1983-10-26 21:57:55
61,melindameyer,$2b$10$8B8RAgvvlROAyb4MYASJSeu4yhVjSBQmsyNd.IA1VO.6Xa59V6CW2,melindameyer@shcrew.com,Others,employee,2,+1-617-965-8373x86656,2024-05-12 22:49:22,2000-10-17 22:59:16
62,brandonjenkins,$2b$10$MBDMPMZHKoz1EhFqTomwn.ULLCKGlxRDZi62iFIZIAwpd11bzO23y,brandonjenkins@shcrew.com,Others,admin,1,9282357894,1991-06-07 21:17:38,2006-09-04 08:40:49
63,schultzmatthew,$2b$10$OZb3WLFkD5kR3Jl7wvHkeeDe43jgG26XNYC6c1XI4j.7TeIMqJ2a.,schultzmatthew@shcrew.com,Male,employee,2,(519)419-8734x39145,2021-11-17 21:21:05,1986-10-01 05:24:02
64,burkeedward,$2b$10$Kc2IegePbJ6vEmlxA7LF1Oe1xVywxZqbUVlFI0RHApcNl.UaNmUV6,burkeedward@shcrew.com,Male,admin,2,001-650-868-3189x93588,1988-04-15 12:01:12,2018-01-06 02:35:20
65,williamadams,$2b$10$ozGkjrfDlJY7RCqTCIBxi.tIJ8OGrmrUYLR4lV340RizA11FCsMLO,williamadams@shcrew.com,Male,employee,3,714-218-3315,1988-07-12 23:43:57,2003-01-03 15:55:16
66,marquezashley,$2b$10$TvcBQKUPbrOFQeJtWvJVneeOi0e3bZkmc0w.6wX/ZVzFXelquDe7O,marquezashley@shcrew.com,Male,admin,3,476-989-5091x4088,2024-01-14 04:07:32,1974-12-18 19:20:17
67,william26,$2b$10$rgjkblHNngJHS3gAea.2ZOUFc.lvyveFk2SbOwcUp3srvzJf7gnNW,william26@shcrew.com,Male,admin,7,914-294-7952x2227,1977-03-27 03:26:38,1998-12-13 04:23:57
68,bwashington,$2b$10$EpcKLSHqvzGnAkf//RWuUOsPmlnyZJuT83JH.mBgDCfJMR18HDaC.,bwashington@shcrew.com,Male,admin,4,897.886.5221x85839,2012-04-15 23:41:19,2011-07-22 21:20:45
69,cruzsara,$2b$10$TPRAD6Hw7fZWlKKMOwkChOICzqFeLl0PPrgk/wPxKKYkAc5jvh2b2,cruzsara@shcrew.com,Female,employee,6,+1-870-996-0756x518,2006-09-01 10:34:28,1983-06-05 03:16:22
70,csmith,$2b$10$iDGgOc0Bvn4AfykbbapZQ.WBiApa/zC7U0xXUhrf2RKp7fTyaEN0q,csmith@shcrew.com,Male,admin,1,(515)599-1981x00443,1974-08-31 15:53:45,1998-08-28 00:21:18
71,michaeljackson,$2b$10$aA0Dv.0mYNUxb0DhFU62cuiSKvXBSAu45QTpgvyJMRLRO9Gr63xU.,michaeljackson@shcrew.com,Others,admin,8,898.516.6948x18315,2001-10-01 23:32:48,1997-06-09 11:56:50
72,mccormickjacqueline,$2b$10$6mrlqWCNNK0R84aRcWHkNunp79lz5QUfQmYlLIR2Do8hkaq1yHkM6,mccormickjacqueline@shcrew.com,Female,employee,7,265.951.6788x95253,2018-01-04 06:05:13,2002-06-10 22:58:03
73,jonathansimmons,$2b$10$5jLlKADA7SG.X1BN6BHCa.8dYR7DXv1SqxqEh/MgFh3U0Rwg9wbgq,jonathansimmons@shcrew.com,Male,admin,2,362-905-4576,1979-01-21 15:33:22,2017-01-04 17:01:08
74,brianna92,$2b$10$9VG3LjP0GiKoKYWi6ORNB.LUUn0dQjTpj6VIVydadbS5IqOxeDhTq,brianna92@shcrew.com,Others,employee,8,956.576.3180,2011-07-18 17:05:32,1987-10-29 00:09:50
75,whitedeanna,$2b$10$W0eevh3x4sD14MAhPSxuIOlChO3PTTca/GMuOHW7ME0ptezRIxkuu,whitedeanna@shcrew.com,Female,admin,5,4709155656,1971-05-02 22:03:24,2001-07-13 20:51:02
76,joseph17,$2b$10$nJ6UE7eML2afRCke5pCINO7yGBOfkgMT1D70wPHLZzZw4.X/a9892,joseph17@shcrew.com,Male,employee,1,920-490-8746x75547,2019-03-20 09:17:31,1973-12-17 06:11:34
77,jeffrey14,$2b$10$uxPeuDfaCfuogz1sU9x7PuHvib53.EhZjTgdqEEXSVBkSRkVmxYjm,jeffrey14@shcrew.com,Male,admin,4,(991)341-9357x52547,2023-07-13 18:50:21,1970-01-03 05:03:54
78,kennethdiaz,$2b$10$lUwnM9azaa9xGjr00lC8Be.Puj8TnMy2BhfOjdgY2mx4yh89IwIcy,kennethdiaz@shcrew.com,Female,employee,5,645.283.3037x249,1995-04-16 12:40:17,1979-08-13 06:47:30
79,hollandjoanne,$2b$10$weLobqEUkIOBrb8bVKxuJONwZo6nhm7KzHAhpVYmHqNdupw5cebya,hollandjoanne@shcrew.com,Female,employee,8,(752)949-7170x8528,2004-08-14 11:52:36,2016-03-08 04:19:34
80,gsloan,$2b$10$///E1BHdZmQi4D12.oLyhuPB3b2G93fn4GenEzllSgeg.T8iy9xcq,gsloan@shcrew.com,Female,employee,4,+1-304-323-1586x140,2022-10-13 17:12:27,1973-09-14 11:04:15
81,lewiscatherine,$2b$10$gOrhZZlhZZjfh7IsHW0.uuQmiGcCxPC6d.gKgiPlqp3US5NHOL5tW,lewiscatherine@shcrew.com,Male,employee,8,6603349584,1985-02-23 00:35:42,2021-01-24 15:33:37
82,markmcguire,$2b$10$Y1sSJ/O9It39wykSzecP6.GRD8w6noyYYEvFRo3W/QInh0bwY6qIG,markmcguire@shcrew.com,Others,admin,3,383-396-5928x81831,2002-08-19 15:46:11,2012-08-24 13:16:43
83,gutierrezanne,$2b$10$5gmIUS79etNC5n70i8G82e4S.l0OSdkBs94wJceJLFcXoZXsMHugi,gutierrezanne@shcrew.com,Male,admin,7,(862)970-2537x07059,1991-05-08 21:53:38,2019-12-18 21:37:44
84,kendra95,$2b$10$rBEbUhQqbkcoSQOIFIkZjuD.HhtQjJUyPWKrs5KCMgBn7g4fo1vl6,kendra95@shcrew.com,Others,employee,7,(725)431-1857,2003-03-21 10:41:03,2013-12-15 20:58:29
85,donaldharrington,$2b$10$6lFWT2bNV5c9NpNOlmJ4huvOjTfPbRl4inKiytQ91s1/2jjQzwEf.,donaldharrington@shcrew.com,Others,employee,3,583.444.4448x3179,2018-10-18 11:31:45,2010-05-24 04:44:05
86,kevindixon,$2b$10$EiF8EHI08EK4DG3BZ54aT.fY3P0JYbUsew.OKgT5eAMTqxWpfOZmO,kevindixon@shcrew.com,Female,admin,5,937-384-3491,1984-07-19 20:27:02,1998-07-30 16:09:25
87,angela42,$2b$10$PmtBOJzr7Q919My95HO5KeMpoWD21p9FgiJ9Jc6e.GArJm1BITr6G,angela42@shcrew.com,Others,admin,7,+1-993-443-8722x0411,2002-09-29 12:16:00,1992-04-21 00:06:24
88,thomas33,$2b$10$LhXk61KNw56TxBle1kRtz.KI8UuU0Npaq7kE3klWCmwVoqo3AZrBq,thomas33@shcrew.com,Female,employee,7,9568669743,1975-10-19 12:46:08,1971-08-08 04:43:41
89,hzuniga,$2b$10$gW7rF5RpGf6./73fwTauc.K2.WucJICkmzVuNovEKUo661ojHcxR.,hzuniga@shcrew.com,Female,employee,2,+1-906-512-7571x2201,2011-06-19 07:07:05,1993-09-07 16:24:35
90,annablair,$2b$10$KarZPHGAIpkHjvWwMiricu0NNRj98YaHe6D9e1YU1Fhl.Y1i8LCs.,annablair@shcrew.com,Male,employee,3,784-837-1248,1977-04-26 17:06:57,1989-02-21 02:17:13
91,brandonhanson,$2b$10$A.Ara8tNpJ/Irlf8rH4lFue88/ziHSf/yRe7tLyPI6UWFdwHxddbC,brandonhanson@shcrew.com,Others,employee,3,459-788-6748,2007-10-18 00:32:24,1997-11-16 05:56:56
92,rdyer,$2b$10$Iq8Xy.E4Hr70faf0DsRP1uJwdOwIXCUr3ZlA.9FjrFs1aK5A28Rg2,rdyer@shcrew.com,Others,employee,3,953.476.9323,1992-08-16 07:31:02,2022-08-15 01:30:57
93,jacknewton,$2b$10$e5UIQBSk6rBIAahlaHGSXOFnUuv7Hs3iS73Th/GKx0s52t.iVrRou,jacknewton@shcrew.com,Others,employee,7,548-411-5773x74788,2008-01-18 01:26:20,2014-10-09 14:52:58
94,kelly50,$2b$10$r7BvFimSFAkwJec/QQVMxOU2ZADBGCUcH52sQ2vio1GTx0cG/Ws4m,kelly50@shcrew.com,Male,admin,1,2412190097,1985-03-20 09:09:19,1979-08-24 06:41:02
95,adamsjoseph,$2b$10$pOZx72fJfP3nzKF3JG4bieoju.Bkrhceib1vCk7n6/4LEVPMeiBca,adamsjoseph@shcrew.com,Male,employee,3,001-539-526-4362x150,2000-11-17 23:51:58,2005-02-23 00:02:04
96,robleskaitlin,$2b$10$M4C2eXpy1PnTzbuhAot2H.jDl2uP12yaoKd5kXT5tlywnYwZFCPrO,robleskaitlin@shcrew.com,Female,employee,4,(285)599-8631,1984-12-11 04:05:19,2019-01-05 14:18:15
97,christian25,$2b$10$VIOQS3lRiKhoLYEkVoekrOfbjfqu6aavDUMkCHbzgc.q3pLA3kLy6,christian25@shcrew.com,Others,admin,5,(308)414-0960x711,2024-03-20 10:36:43,2023-02-19 11:09:12
98,shawnacarter,$2b$10$g3MONOG0Tua6JkB7FqRGheZa0FpaV3pDdMbDMLhhdleIb5eGGs6.W,shawnacarter@shcrew.com,Others,admin,3,713-987-3838,2023-05-02 22:38:41,1998-04-11 20:10:59
99,kelly39,$2b$10$SMw9VJUJU2G1fkHLJjsE1.IrAS7gnFWfR96lBV12GCvZbOa2/MTlO,kelly39@shcrew.com,Male,employee,5,794-516-7132x38707,1977-06-21 15:13:00,2022-10-28 22:11:49
100,johnathankaiser,$2b$10$8Vx9fIzFnyDZh/1TWjNfyurpgTMG2i0lS2mwU0KkDUphf/UDKXYpu,johnathankaiser@shcrew.com,Female,admin,4,2745259940,1972-01-30 04:53:51,1989-01-15 04:02:44
