id,username,email,role,designationId,createdAt,updatedAt
47,Tracey Moss,stephaniebeard46@mgcrew.com,employee,6.0,2022-05-19 03:50:25,2024-03-08 13:58:55
48,Casey Humphrey,johnsonmelanie47@mgcrew.com,employee,3.0,2022-10-08 08:52:42,2024-05-11 08:28:39
49,Donald King,durhamdavid48@mgcrew.com,employee,2.0,2024-01-12 18:16:29,2024-07-25 23:03:03
50,Sherri Edwards,dkelly49@mgcrew.com,employee,1.0,2023-09-14 11:53:17,2023-12-24 23:07:13
51,James Watts,lee5150@mgcrew.com,employee,8.0,2024-06-29 12:54:18,2024-09-05 03:41:49
52,David Oliver,rcraig51@mgcrew.com,employee,6.0,2023-10-28 05:35:35,2024-03-13 09:30:17
53,Mr. Jeffrey Spears,juliejohns52@mgcrew.com,employee,6.0,2024-06-02 19:50:35,2024-09-08 08:08:39
54,Robin Mccoy,fcook53@mgcrew.com,employee,7.0,2024-04-18 10:05:16,2024-06-26 05:27:29
55,Maria Murphy,michael2154@mgcrew.com,employee,8.0,2023-09-03 09:00:25,2023-10-26 01:03:01
56,Alexis Huff,pmalone55@mgcrew.com,employee,4.0,2023-02-10 22:11:10,2023-06-25 10:45:56
57,Teresa Wiggins,samanthafuller56@mgcrew.com,employee,8.0,2024-09-12 05:25:07,2024-09-24 07:52:16
58,Shannon Rogers,crystal8457@mgcrew.com,employee,2.0,2023-09-29 16:38:20,2023-11-10 18:38:32
59,Alyssa Conner,nicole4058@mgcrew.com,employee,3.0,2024-03-11 06:47:54,2024-06-20 18:20:33
60,Jeremy Houston,cgreen59@mgcrew.com,employee,4.0,2022-07-15 07:56:23,2024-02-23 16:27:01
61,Kelly Rodriguez,annbennett60@mgcrew.com,employee,6.0,2024-05-23 18:08:58,2024-08-14 04:52:24
62,Crystal Ray,danielbrown61@mgcrew.com,employee,8.0,2023-11-06 18:40:11,2024-02-03 15:08:26
63,Louis Miller,courtneyvelazquez62@mgcrew.com,employee,8.0,2024-08-10 01:48:54,2024-09-06 16:56:59
64,Jeffrey Gay,hinesjohn63@mgcrew.com,employee,1.0,2024-02-01 23:57:11,2024-06-29 05:04:04
65,Kevin Smith,daniellestewart64@mgcrew.com,employee,5.0,2023-05-21 18:23:43,2024-07-08 20:11:26
66,John Anderson,powellmichael65@mgcrew.com,employee,7.0,2023-01-10 09:49:58,2024-07-23 11:55:36
67,Christopher Davis,ruth1266@mgcrew.com,employee,5.0,2023-10-05 21:19:10,2023-11-29 15:23:37
68,Sandra Thompson,jonathangraham67@mgcrew.com,employee,3.0,2022-12-20 09:05:34,2023-04-30 01:49:45
69,Joshua Campos,christopher1568@mgcrew.com,employee,5.0,2024-08-23 13:38:24,2024-08-30 18:53:22
70,Megan Schmidt,sanchezregina69@mgcrew.com,employee,3.0,2023-02-25 22:46:07,2024-09-05 09:14:11
71,Kenneth Lin,thomasrose70@mgcrew.com,employee,3.0,2023-05-09 21:06:57,2023-11-13 04:54:45
72,Ryan Scott,steelekenneth71@mgcrew.com,employee,5.0,2024-01-29 09:25:50,2024-01-31 20:47:23
73,Denise Ramirez,schavez72@mgcrew.com,employee,7.0,2022-04-21 16:19:11,2022-08-21 03:06:11
74,Kevin Flores,kflores73@mgcrew.com,employee,1.0,2022-07-11 16:57:12,2023-04-27 22:33:45
75,Kristina Fernandez,roger1674@mgcrew.com,employee,4.0,2024-06-06 05:52:31,2024-07-12 11:11:18
76,Tammy Mayo,rebeccabruce75@mgcrew.com,employee,4.0,2024-06-04 00:07:48,2024-10-06 04:57:03
77,Tina Herman,tyler3176@mgcrew.com,employee,1.0,2022-12-09 05:10:21,2023-06-01 06:45:21
78,Kathryn Brown,katherinebraun77@mgcrew.com,employee,4.0,2024-01-12 03:50:01,2024-08-28 07:15:56
79,Kathleen Richards,christopher3478@mgcrew.com,employee,2.0,2023-02-12 02:23:17,2024-09-09 14:07:23
80,Adrian Benson,james8179@mgcrew.com,employee,6.0,2024-07-14 15:33:49,2024-09-30 18:20:22
81,Christina Keller,rubiobrian80@mgcrew.com,employee,6.0,2022-04-19 21:43:29,2024-02-05 08:39:03
82,Christopher Lucas MD,markwalker81@mgcrew.com,employee,1.0,2024-04-16 08:58:46,2024-05-23 07:50:33
83,Ryan Mcclain,leeanne82@mgcrew.com,employee,3.0,2023-08-09 10:49:11,2023-11-10 12:08:25
84,Julia Duffy,edwardburns83@mgcrew.com,employee,2.0,2024-09-05 01:26:01,2024-09-09 16:12:26
85,William Torres,whines84@mgcrew.com,employee,6.0,2023-05-27 00:43:49,2023-08-05 16:58:12
86,Linda Mcintosh,gibsonamanda85@mgcrew.com,employee,5.0,2023-06-13 03:37:05,2024-08-16 21:08:33
87,Colleen Shepherd,michaelwatts86@mgcrew.com,employee,6.0,2024-01-16 14:09:48,2024-09-10 09:23:10
88,Kelly Walker,davischristopher87@mgcrew.com,employee,6.0,2024-05-10 10:51:16,2024-09-09 17:33:13
89,Steven Dorsey,pricesusan88@mgcrew.com,employee,3.0,2023-01-23 10:02:50,2023-10-28 19:19:21
90,Jeffrey Stevenson,peggyreed89@mgcrew.com,employee,3.0,2022-07-13 16:26:20,2023-08-14 21:35:25
91,Michelle Brown,aalvarado90@mgcrew.com,employee,6.0,2023-12-11 03:07:06,2024-03-25 08:17:10
92,Anthony Rodriguez,joseph2991@mgcrew.com,employee,1.0,2023-06-18 23:00:30,2023-08-24 08:43:44
93,Mr. Andrew Hardy,james6692@mgcrew.com,employee,4.0,2024-02-29 04:06:12,2024-07-12 12:56:47
94,Gabrielle Robinson,mccarthytammy93@mgcrew.com,employee,1.0,2022-11-20 19:47:01,2023-08-01 23:30:36
95,Ashley Dominguez,umurphy94@mgcrew.com,employee,8.0,2024-03-29 14:28:53,2024-06-26 21:24:43
96,Laura Moore,davismelissa95@mgcrew.com,employee,4.0,2023-12-18 03:18:21,2024-02-29 19:36:32
97,Sean Wright,qperry96@mgcrew.com,employee,7.0,2022-08-21 20:26:10,2024-02-08 00:29:04
98,Mrs. Cindy Rodriguez,zjohnson97@mgcrew.com,employee,6.0,2024-07-11 21:30:31,2024-07-21 05:11:55
99,Collin Williams,sherijones98@mgcrew.com,employee,1.0,2023-07-27 08:10:21,2023-11-20 18:37:10
100,Maria Harper,cummingscarl99@mgcrew.com,employee,3.0,2022-04-12 10:38:05,2023-12-14 10:44:08
101,Lucas Mcneil,stephenacevedo100@mgcrew.com,employee,2.0,2024-04-22 00:10:41,2024-10-06 07:45:54
102,Amanda Walker,jessicamoore101@mgcrew.com,employee,1.0,2024-10-01 22:10:38,2024-10-03 23:43:32
103,Sheila Olson,franciskrista102@mgcrew.com,employee,6.0,2023-04-19 02:37:15,2023-11-11 07:31:32
104,Yesenia Jordan,chunt103@mgcrew.com,employee,5.0,2022-05-27 03:53:11,2023-03-16 10:55:29
105,Paige Rice,hicksjacqueline104@mgcrew.com,employee,4.0,2023-08-13 21:46:40,2024-07-27 14:26:23
106,Mary Willis,robertmacdonald105@mgcrew.com,employee,5.0,2023-01-21 19:51:13,2023-07-24 22:19:44
107,Desiree Ray,ariaskelly106@mgcrew.com,employee,3.0,2024-05-30 11:48:32,2024-07-03 04:35:37
108,Mary Smith,jose92107@mgcrew.com,employee,2.0,2023-08-31 22:02:13,2023-09-21 23:28:33
109,Kristin Mejia,qsilva108@mgcrew.com,employee,5.0,2024-05-18 21:31:26,2024-06-01 12:08:09
110,James Miller,laurahoward109@mgcrew.com,employee,5.0,2023-07-01 22:53:56,2024-02-23 10:45:16
111,Jason Dixon,bpennington110@mgcrew.com,employee,6.0,2023-01-03 21:07:50,2023-03-14 17:44:41
112,Kelsey Stokes,kristy60111@mgcrew.com,employee,1.0,2023-01-24 18:39:23,2023-12-07 11:39:22
113,Samuel Hoffman,pittmancatherine112@mgcrew.com,employee,6.0,2024-04-17 08:51:00,2024-06-07 05:40:13
114,Heidi Garcia,shannon58113@mgcrew.com,employee,8.0,2023-06-14 03:36:47,2023-09-11 23:02:11
115,Andrea Price,gina49114@mgcrew.com,employee,4.0,2022-12-24 12:38:08,2023-12-04 19:58:22
116,Jamie Steele,nguyenbrianna115@mgcrew.com,employee,8.0,2024-07-29 20:14:47,2024-10-01 23:36:30
117,Peter Holder,baueramy116@mgcrew.com,employee,3.0,2023-08-11 11:34:01,2024-07-19 17:21:23
118,Elizabeth Watson,ericbrown117@mgcrew.com,employee,5.0,2023-12-05 14:42:49,2024-03-20 11:14:01
119,Vanessa Ferrell,jsmith118@mgcrew.com,employee,6.0,2022-08-01 06:27:04,2023-10-31 21:36:29
120,Carl Williams,kayla33119@mgcrew.com,employee,4.0,2023-04-30 14:59:00,2024-03-01 08:07:59
121,Billy Mcbride,ymoore120@mgcrew.com,employee,6.0,2024-10-05 10:49:19,2024-10-06 16:24:54
122,Timothy Conley,jon84121@mgcrew.com,employee,1.0,2023-01-19 15:58:00,2024-02-28 21:25:18
123,Casey Bird,harveyjennifer122@mgcrew.com,employee,7.0,2022-09-12 17:44:51,2022-10-24 11:57:19
124,Brandon Thompson,srichardson123@mgcrew.com,employee,3.0,2023-06-11 21:12:30,2024-04-17 10:38:12
125,John Humphrey,rachel73124@mgcrew.com,employee,2.0,2023-02-04 04:40:42,2024-03-01 19:56:46
126,Joshua Sosa,paul90125@mgcrew.com,employee,4.0,2022-06-06 04:30:22,2023-03-11 13:05:27
127,Marissa Huang,jonathanjohnson126@mgcrew.com,employee,6.0,2023-01-09 01:10:46,2023-11-29 02:36:24
128,James Webb,alex94127@mgcrew.com,employee,8.0,2023-06-14 17:12:39,2024-03-30 21:03:20
129,Stephanie Ruiz,ericfrancis128@mgcrew.com,employee,8.0,2022-08-20 03:38:36,2022-09-04 14:58:13
130,Robert Pearson,townsendrobert129@mgcrew.com,employee,6.0,2023-08-15 06:16:38,2024-04-13 10:56:29
131,Debra Tyler,ocoleman130@mgcrew.com,employee,3.0,2023-02-05 01:30:47,2023-08-07 07:37:18
132,Laurie Jimenez,iyang131@mgcrew.com,employee,2.0,2023-03-13 05:38:29,2024-09-10 01:37:34
133,Brittney Bates,xliu132@mgcrew.com,employee,3.0,2023-01-24 20:21:34,2024-05-17 09:56:41
134,Patricia Gill,traciweaver133@mgcrew.com,employee,4.0,2023-01-20 03:26:26,2023-05-15 10:47:21
135,Mrs. Annette Hamilton,jhernandez134@mgcrew.com,employee,6.0,2022-12-29 20:19:40,2023-05-17 16:39:35
136,Danny Garcia,anthonynewman135@mgcrew.com,employee,5.0,2023-01-03 14:09:42,2024-04-24 22:18:05
137,Robert Fleming,jefferykennedy136@mgcrew.com,employee,2.0,2024-03-06 23:47:25,2024-08-22 08:01:17
138,Erica Cook,chelsea54137@mgcrew.com,employee,7.0,2024-07-22 18:50:12,2024-08-24 14:05:33
139,Angel Sloan,varnold138@mgcrew.com,employee,6.0,2022-11-20 12:35:53,2024-08-05 16:34:09
140,Ashlee Gilmore,nsantiago139@mgcrew.com,employee,5.0,2024-08-21 20:56:09,2024-09-24 00:33:04
141,Holly George,rebeccajones140@mgcrew.com,employee,6.0,2023-11-16 15:34:31,2024-06-28 23:51:31
142,Jill Hamilton,cholland141@mgcrew.com,employee,5.0,2024-01-26 05:01:32,2024-01-29 21:03:24
143,Linda James,jeffreyduncan142@mgcrew.com,employee,3.0,2022-04-12 15:35:04,2023-03-02 10:56:25
144,Michael Mclean,xcampbell143@mgcrew.com,employee,2.0,2024-10-01 04:16:05,2024-10-04 04:03:53
145,Christopher David,ksingleton144@mgcrew.com,employee,2.0,2023-09-28 23:37:33,2024-01-01 09:08:10
146,Alexander Craig,trevorbryant145@mgcrew.com,employee,3.0,2023-12-22 21:33:54,2024-03-02 13:55:35
147,Stephen Campbell,lisa19146@mgcrew.com,employee,7.0,2023-02-10 19:11:16,2024-09-24 15:44:54
148,Terri Adkins,cherylriggs147@mgcrew.com,employee,2.0,2023-10-25 03:35:26,2024-09-29 19:19:17
149,Juan Khan,katherineperez148@mgcrew.com,employee,7.0,2023-08-06 12:35:59,2024-08-23 08:17:10
150,David Briggs DDS,sophia35149@mgcrew.com,employee,3.0,2022-08-31 15:28:54,2022-10-01 16:45:23
151,Laura Dillon,daniel17150@mgcrew.com,employee,6.0,2023-09-22 19:36:08,2024-02-06 06:26:21
152,Andrew Mccullough,charlessmith151@mgcrew.com,employee,7.0,2023-07-15 20:48:27,2024-07-20 02:46:38
153,Zachary Johnson,jessica33152@mgcrew.com,employee,8.0,2024-03-30 00:50:30,2024-04-28 15:35:43
154,Lindsey Patrick,smithkrystal153@mgcrew.com,employee,4.0,2022-09-09 06:02:15,2023-08-04 09:31:09
155,Shawn Powers,stefanieschaefer154@mgcrew.com,employee,8.0,2024-03-14 03:56:10,2024-03-21 10:19:52
156,Brenda Cohen,karendurham155@mgcrew.com,employee,3.0,2022-11-22 19:49:44,2024-03-26 18:46:18
157,David White,williamjenkins156@mgcrew.com,employee,5.0,2022-10-26 23:09:16,2023-03-04 01:48:56
158,Brian Williams,bryan94157@mgcrew.com,employee,2.0,2023-11-23 17:13:18,2024-06-14 02:31:38
159,Emily Price,jamie61158@mgcrew.com,employee,3.0,2023-10-19 20:54:08,2024-01-23 02:13:37
160,Brian Wheeler,gutierrezjames159@mgcrew.com,employee,5.0,2022-06-26 07:06:10,2024-05-03 23:01:28
161,Barbara Franklin,jamesscott160@mgcrew.com,employee,2.0,2024-07-02 12:17:49,2024-08-16 17:33:19
162,Shelby Miller,ehunter161@mgcrew.com,employee,2.0,2024-07-18 22:26:08,2024-09-07 14:13:00
163,Alicia Ray,flynnpamela162@mgcrew.com,employee,6.0,2022-09-03 10:44:19,2024-06-27 02:39:00
164,Corey Taylor,osantana163@mgcrew.com,employee,6.0,2022-06-04 11:44:19,2023-09-16 21:08:51
165,Dana Bailey,susancain164@mgcrew.com,employee,3.0,2022-12-09 20:18:04,2024-02-28 08:59:29
166,Ricardo Garcia,diane10165@mgcrew.com,employee,7.0,2022-06-12 09:04:11,2022-07-05 05:12:39
167,Cynthia Schmitt,timothy60166@mgcrew.com,employee,8.0,2023-05-06 02:01:35,2023-07-05 18:40:11
168,Joseph Bryant,aanderson167@mgcrew.com,employee,5.0,2023-06-24 09:14:24,2023-11-20 03:43:13
169,Daniel Rowe,paula30168@mgcrew.com,employee,5.0,2024-03-11 18:53:44,2024-07-19 06:10:37
170,Dr. Daniel Fowler MD,kharris169@mgcrew.com,employee,6.0,2024-09-10 23:52:53,2024-09-11 23:43:59
171,Anthony Cooper,hvalentine170@mgcrew.com,employee,7.0,2023-05-30 06:41:01,2024-03-13 00:37:39
172,Anthony Fisher,dawsonbryan171@mgcrew.com,employee,1.0,2024-08-24 01:26:30,2024-09-08 09:21:13
173,Paula Mcdaniel,crodriguez172@mgcrew.com,employee,1.0,2024-08-31 10:29:56,2024-09-01 01:59:57
174,Kaitlyn Bryant,zgreen173@mgcrew.com,employee,3.0,2024-03-14 04:55:38,2024-07-13 09:40:22
175,Dustin Wilkinson,pauljones174@mgcrew.com,employee,4.0,2022-04-23 17:52:58,2022-10-24 17:27:08
176,Nancy Brady,kevin84175@mgcrew.com,employee,4.0,2022-09-17 01:59:35,2023-04-30 22:08:49
177,Mark Sanford,richardsonrichard176@mgcrew.com,employee,7.0,2024-04-01 18:09:53,2024-04-17 06:32:51
178,Bryan Rice,chadbutler177@mgcrew.com,employee,4.0,2023-07-14 21:02:36,2024-01-13 03:40:29
179,Carolyn Taylor,james00178@mgcrew.com,employee,8.0,2024-02-05 00:00:11,2024-07-04 20:16:34
180,Vincent Sullivan,brenda12179@mgcrew.com,employee,3.0,2023-05-15 17:10:03,2024-08-20 00:05:42
181,Rebecca Cross,stephanie15180@mgcrew.com,employee,6.0,2022-12-28 14:40:11,2024-09-20 17:56:44
182,Adam Carlson,wstewart181@mgcrew.com,employee,6.0,2022-05-21 05:26:56,2023-03-02 21:01:48
183,Michael Reyes,cervantesallison182@mgcrew.com,employee,6.0,2022-10-27 10:47:46,2024-02-26 20:38:03
184,Mathew Lowe,hollyroach183@mgcrew.com,employee,3.0,2023-04-24 14:32:00,2024-01-16 03:21:03
185,Elizabeth Chapman,carterashley184@mgcrew.com,employee,7.0,2024-01-28 22:59:37,2024-05-09 04:51:14
186,Alexa Scott,kbecker185@mgcrew.com,employee,6.0,2022-10-08 16:58:24,2023-02-11 02:00:30
187,Sara Robinson,scott76186@mgcrew.com,employee,7.0,2022-06-26 22:14:33,2024-05-20 04:32:07
188,Jay Gonzalez,joseclark187@mgcrew.com,employee,7.0,2023-12-08 02:29:14,2024-09-01 19:07:34
189,Stacey Burch,sarahallen188@mgcrew.com,employee,8.0,2024-05-07 23:22:52,2024-09-08 20:02:32
190,Christopher Underwood,bnichols189@mgcrew.com,employee,4.0,2024-08-27 09:06:31,2024-09-03 05:08:50
191,Rebecca Newman,shawn69190@mgcrew.com,employee,1.0,2022-05-19 14:46:05,2024-02-19 17:40:06
192,Kevin Meyers,stephensbenjamin191@mgcrew.com,employee,2.0,2024-09-18 15:15:47,2024-09-25 09:10:12
193,Alyssa White,unelson192@mgcrew.com,employee,7.0,2023-01-28 03:41:36,2023-09-25 18:06:54
194,Jeffery Washington,joshuajohnson193@mgcrew.com,employee,5.0,2022-09-03 00:11:51,2022-12-01 06:06:06
195,Whitney Harris,norma74194@mgcrew.com,employee,3.0,2024-09-21 20:28:53,2024-10-01 02:27:40
196,Douglas Gutierrez,vanessa18195@mgcrew.com,employee,7.0,2022-09-16 21:04:35,2022-10-07 01:00:29
197,Wayne Villarreal,jeffrey30196@mgcrew.com,employee,3.0,2022-05-26 07:56:35,2023-05-05 12:34:02
198,Louis Chan,martinabigail197@mgcrew.com,employee,6.0,2023-10-20 05:58:18,2024-10-03 06:34:09
199,Bryan Payne,lmoses198@mgcrew.com,employee,4.0,2023-06-02 01:55:50,2024-02-18 19:25:34
200,Debbie Scott,mhardy199@mgcrew.com,employee,1.0,2024-02-02 00:44:40,2024-06-07 12:34:04
201,Phillip Smith,wriley200@mgcrew.com,employee,2.0,2023-10-04 16:04:11,2024-10-03 13:55:01
202,Mrs. Holly Bell,sellersmiguel201@mgcrew.com,employee,2.0,2023-02-02 19:18:36,2023-05-16 12:50:24
203,Victoria Lewis,nguyenkirk202@mgcrew.com,employee,4.0,2024-04-04 10:20:48,2024-07-28 16:09:13
204,Rhonda Crawford,matthew97203@mgcrew.com,employee,6.0,2023-04-09 10:46:34,2024-05-26 08:24:12
205,Mr. James Lawson Jr.,robertgraham204@mgcrew.com,employee,4.0,2023-07-11 17:47:14,2023-11-28 09:51:19
206,Joseph Lewis,nreyes205@mgcrew.com,employee,3.0,2022-06-17 14:15:58,2024-08-30 12:49:23
207,Lindsay Gross,drichard206@mgcrew.com,employee,7.0,2023-03-03 08:23:21,2023-04-25 04:37:22
208,Amanda Rodriguez,john24207@mgcrew.com,employee,2.0,2022-06-06 09:51:56,2024-08-24 23:54:40
209,Nicole Gallagher,imartinez208@mgcrew.com,employee,2.0,2023-02-08 00:42:35,2023-05-16 09:12:37
210,Terry Evans,gregorysantos209@mgcrew.com,employee,5.0,2023-06-09 04:21:57,2024-09-23 06:58:53
211,Rebecca Brown,ngriffith210@mgcrew.com,employee,3.0,2024-09-18 17:08:36,2024-09-28 03:18:13
212,Kathy Davis,parkeraaron211@mgcrew.com,employee,7.0,2024-01-19 05:49:26,2024-03-03 14:36:29
213,Andrew Fernandez,bryanshannon212@mgcrew.com,employee,8.0,2022-08-06 04:09:43,2024-07-13 17:06:39
214,Tyler Olsen,zhenry213@mgcrew.com,employee,4.0,2023-05-24 23:15:33,2023-09-30 21:33:58
215,Ellen Soto,scottmaynard214@mgcrew.com,employee,6.0,2022-05-24 22:36:09,2024-07-18 12:47:10
216,Rebecca Diaz,gallagherkenneth215@mgcrew.com,employee,8.0,2023-05-10 21:58:27,2024-06-10 21:18:45
217,Richard Parker,waltonerica216@mgcrew.com,employee,5.0,2024-05-26 15:56:21,2024-08-11 21:21:13
218,Anthony Goodman,steven18217@mgcrew.com,employee,6.0,2023-08-17 07:44:38,2023-09-07 05:59:02
219,Glen Owens,scottallison218@mgcrew.com,employee,4.0,2023-06-25 20:18:38,2023-11-01 17:53:05
220,Amanda Jones,jeremywilcox219@mgcrew.com,employee,7.0,2024-08-06 12:00:26,2024-08-06 23:25:59
221,Gloria Brown,erika21220@mgcrew.com,employee,7.0,2023-09-24 03:47:16,2024-09-13 16:20:38
222,Carol Silva,jared48221@mgcrew.com,employee,7.0,2023-01-27 23:12:05,2023-12-04 02:03:16
223,Alexander Matthews,tjones222@mgcrew.com,employee,8.0,2022-08-10 17:56:31,2023-07-02 21:00:31
224,Olivia Ruiz,collinsjaclyn223@mgcrew.com,employee,7.0,2023-03-21 15:01:01,2024-07-25 00:25:39
225,Tracy Rodriguez,jerry14224@mgcrew.com,employee,7.0,2023-12-10 11:11:24,2024-08-28 03:59:08
226,Bradley Nguyen,connerjennifer225@mgcrew.com,employee,8.0,2023-08-30 00:49:38,2023-11-18 06:10:07
227,Matthew Wagner,elliottjohnathan226@mgcrew.com,employee,2.0,2022-09-08 15:49:10,2023-05-23 01:31:21
228,Heather Garcia,iowens227@mgcrew.com,employee,1.0,2024-09-08 20:27:27,2024-09-29 14:29:04
229,Christopher Wright,canderson228@mgcrew.com,employee,6.0,2024-03-03 13:33:32,2024-05-15 09:54:29
230,Jeffrey Ellis,umendoza229@mgcrew.com,employee,7.0,2023-07-23 04:15:03,2024-01-01 12:25:30
231,Jeffery Thomas,xmiller230@mgcrew.com,employee,3.0,2023-08-09 20:04:54,2024-08-02 08:17:39
232,Mary Hubbard,taylorbenjamin231@mgcrew.com,employee,6.0,2023-06-28 11:23:34,2024-02-09 09:58:59
233,Melanie Hoffman,elizabeth56232@mgcrew.com,employee,1.0,2024-02-15 15:37:24,2024-05-07 07:27:52
234,Laura Powell,sampsoncarl233@mgcrew.com,employee,7.0,2023-01-30 22:22:03,2024-02-17 08:42:17
235,Kathleen Edwards,bblair234@mgcrew.com,employee,6.0,2023-01-17 13:55:29,2024-04-09 05:28:49
236,Janice Garrett,james41235@mgcrew.com,employee,4.0,2022-10-12 07:32:14,2024-01-10 19:11:32
237,Jessica Daniels,yhall236@mgcrew.com,employee,6.0,2023-10-24 16:07:51,2024-05-20 00:18:29
238,Nicole Lopez,jacobramirez237@mgcrew.com,employee,3.0,2022-07-24 16:31:47,2023-03-21 19:02:24
239,Brandon Walker,wolfenicholas238@mgcrew.com,employee,6.0,2022-08-15 15:26:01,2022-12-02 00:04:45
